stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
463,3,odd-primary image J,Z/3,116,0,k=(2p-2)t-1,exact in all dimensions
463,5,odd-primary image J,Z/5,58,0,k=(2p-2)t-1,exact in all dimensions
463,59,odd-primary image J,Z/59,4,0,k=(2p-2)t-1,exact in all dimensions
463,233,odd-primary image J,Z/233,1,0,k=(2p-2)t-1,exact in all dimensions
464,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
465,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
466,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
467,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
467,3,odd-primary image J,Z/27,117,2,k=(2p-2)t-1,exact in all dimensions
467,7,odd-primary image J,Z/7,39,0,k=(2p-2)t-1,exact in all dimensions
467,19,odd-primary image J,Z/19,13,0,k=(2p-2)t-1,exact in all dimensions
467,79,odd-primary image J,Z/79,3,0,k=(2p-2)t-1,exact in all dimensions
471,2,2-primary image-J cyclic summand,Z/16,59,0,"k=8t-1, t odd*2^m",exact
471,3,odd-primary image J,Z/3,118,0,k=(2p-2)t-1,exact in all dimensions
471,5,odd-primary image J,Z/5,59,0,k=(2p-2)t-1,exact in all dimensions
472,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
473,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
474,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
475,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
475,3,odd-primary image J,Z/3,119,0,k=(2p-2)t-1,exact in all dimensions
475,239,odd-primary image J,Z/239,1,0,k=(2p-2)t-1,exact in all dimensions
479,2,2-primary image-J cyclic summand,Z/64,60,2,"k=8t-1, t odd*2^m",exact
479,3,odd-primary image J,Z/9,120,1,k=(2p-2)t-1,exact in all dimensions
479,5,odd-primary image J,Z/25,60,1,k=(2p-2)t-1,exact in all dimensions
479,7,odd-primary image J,Z/7,40,0,k=(2p-2)t-1,exact in all dimensions
479,11,odd-primary image J,Z/11,24,0,k=(2p-2)t-1,exact in all dimensions
479,13,odd-primary image J,Z/13,20,0,k=(2p-2)t-1,exact in all dimensions
479,17,odd-primary image J,Z/17,15,0,k=(2p-2)t-1,exact in all dimensions
479,31,odd-primary image J,Z/31,8,0,k=(2p-2)t-1,exact in all dimensions
479,41,odd-primary image J,Z/41,6,0,k=(2p-2)t-1,exact in all dimensions
479,61,odd-primary image J,Z/61,4,0,k=(2p-2)t-1,exact in all dimensions
479,241,odd-primary image J,Z/241,1,0,k=(2p-2)t-1,exact in all dimensions
480,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
481,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
482,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
483,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
483,3,odd-primary image J,Z/3,121,0,k=(2p-2)t-1,exact in all dimensions
483,23,odd-primary image J,Z/23,11,0,k=(2p-2)t-1,exact in all dimensions
487,2,2-primary image-J cyclic summand,Z/16,61,0,"k=8t-1, t odd*2^m",exact
487,3,odd-primary image J,Z/3,122,0,k=(2p-2)t-1,exact in all dimensions
487,5,odd-primary image J,Z/5,61,0,k=(2p-2)t-1,exact in all dimensions
488,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
489,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
490,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
491,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
491,3,odd-primary image J,Z/9,123,1,k=(2p-2)t-1,exact in all dimensions
491,7,odd-primary image J,Z/7,41,0,k=(2p-2)t-1,exact in all dimensions
491,83,odd-primary image J,Z/83,3,0,k=(2p-2)t-1,exact in all dimensions
495,2,2-primary image-J cyclic summand,Z/32,62,1,"k=8t-1, t odd*2^m",exact
495,3,odd-primary image J,Z/3,124,0,k=(2p-2)t-1,exact in all dimensions
495,5,odd-primary image J,Z/5,62,0,k=(2p-2)t-1,exact in all dimensions
496,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
497,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
498,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
499,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
499,3,odd-primary image J,Z/3,125,0,k=(2p-2)t-1,exact in all dimensions
499,11,odd-primary image J,Z/11,25,0,k=(2p-2)t-1,exact in all dimensions
499,251,odd-primary image J,Z/251,1,0,k=(2p-2)t-1,exact in all dimensions
503,2,2-primary image-J cyclic summand,Z/16,63,0,"k=8t-1, t odd*2^m",exact
503,3,odd-primary image J,Z/27,126,2,k=(2p-2)t-1,exact in all dimensions
503,5,odd-primary image J,Z/5,63,0,k=(2p-2)t-1,exact in all dimensions
503,7,odd-primary image J,Z/49,42,1,k=(2p-2)t-1,exact in all dimensions
503,13,odd-primary image J,Z/13,21,0,k=(2p-2)t-1,exact in all dimensions
503,19,odd-primary image J,Z/19,14,0,k=(2p-2)t-1,exact in all dimensions
503,29,odd-primary image J,Z/29,9,0,k=(2p-2)t-1,exact in all dimensions
503,37,odd-primary image J,Z/37,7,0,k=(2p-2)t-1,exact in all dimensions
503,43,odd-primary image J,Z/43,6,0,k=(2p-2)t-1,exact in all dimensions
503,127,odd-primary image J,Z/127,2,0,k=(2p-2)t-1,exact in all dimensions
504,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
505,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
506,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
507,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
507,3,odd-primary image J,Z/3,127,0,k=(2p-2)t-1,exact in all dimensions
511,2,2-primary image-J cyclic summand,Z/1024,64,6,"k=8t-1, t odd*2^m",exact
511,3,odd-primary image J,Z/3,128,0,k=(2p-2)t-1,exact in all dimensions
511,5,odd-primary image J,Z/5,64,0,k=(2p-2)t-1,exact in all dimensions
511,17,odd-primary image J,Z/17,16,0,k=(2p-2)t-1,exact in all dimensions
511,257,odd-primary image J,Z/257,1,0,k=(2p-2)t-1,exact in all dimensions
512,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
513,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
514,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
515,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
515,3,odd-primary image J,Z/9,129,1,k=(2p-2)t-1,exact in all dimensions
515,7,odd-primary image J,Z/7,43,0,k=(2p-2)t-1,exact in all dimensions
519,2,2-primary image-J cyclic summand,Z/16,65,0,"k=8t-1, t odd*2^m",exact
519,3,odd-primary image J,Z/3,130,0,k=(2p-2)t-1,exact in all dimensions
519,5,odd-primary image J,Z/25,65,1,k=(2p-2)t-1,exact in all dimensions
519,11,odd-primary image J,Z/11,26,0,k=(2p-2)t-1,exact in all dimensions
519,53,odd-primary image J,Z/53,5,0,k=(2p-2)t-1,exact in all dimensions
519,131,odd-primary image J,Z/131,2,0,k=(2p-2)t-1,exact in all dimensions
520,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
521,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
522,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
523,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
523,3,odd-primary image J,Z/3,131,0,k=(2p-2)t-1,exact in all dimensions
523,263,odd-primary image J,Z/263,1,0,k=(2p-2)t-1,exact in all dimensions
527,2,2-primary image-J cyclic summand,Z/32,66,1,"k=8t-1, t odd*2^m",exact
527,3,odd-primary image J,Z/9,132,1,k=(2p-2)t-1,exact in all dimensions
527,5,odd-primary image J,Z/5,66,0,k=(2p-2)t-1,exact in all dimensions
527,7,odd-primary image J,Z/7,44,0,k=(2p-2)t-1,exact in all dimensions
527,13,odd-primary image J,Z/13,22,0,k=(2p-2)t-1,exact in all dimensions
527,23,odd-primary image J,Z/23,12,0,k=(2p-2)t-1,exact in all dimensions
527,67,odd-primary image J,Z/67,4,0,k=(2p-2)t-1,exact in all dimensions
527,89,odd-primary image J,Z/89,3,0,k=(2p-2)t-1,exact in all dimensions
528,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
529,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
530,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
531,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
531,3,odd-primary image J,Z/3,133,0,k=(2p-2)t-1,exact in all dimensions
535,2,2-primary image-J cyclic summand,Z/16,67,0,"k=8t-1, t odd*2^m",exact
535,3,odd-primary image J,Z/3,134,0,k=(2p-2)t-1,exact in all dimensions
535,5,odd-primary image J,Z/5,67,0,k=(2p-2)t-1,exact in all dimensions
535,269,odd-primary image J,Z/269,1,0,k=(2p-2)t-1,exact in all dimensions
536,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
537,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
538,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
539,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
539,3,odd-primary image J,Z/81,135,3,k=(2p-2)t-1,exact in all dimensions
539,7,odd-primary image J,Z/7,45,0,k=(2p-2)t-1,exact in all dimensions
539,11,odd-primary image J,Z/11,27,0,k=(2p-2)t-1,exact in all dimensions
539,19,odd-primary image J,Z/19,15,0,k=(2p-2)t-1,exact in all dimensions
539,31,odd-primary image J,Z/31,9,0,k=(2p-2)t-1,exact in all dimensions
539,271,odd-primary image J,Z/271,1,0,k=(2p-2)t-1,exact in all dimensions
543,2,2-primary image-J cyclic summand,Z/64,68,2,"k=8t-1, t odd*2^m",exact
543,3,odd-primary image J,Z/3,136,0,k=(2p-2)t-1,exact in all dimensions
543,5,odd-primary image J,Z/5,68,0,k=(2p-2)t-1,exact in all dimensions
543,17,odd-primary image J,Z/289,17,1,k=(2p-2)t-1,exact in all dimensions
543,137,odd-primary image J,Z/137,2,0,k=(2p-2)t-1,exact in all dimensions
544,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
545,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
546,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
547,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
547,3,odd-primary image J,Z/3,137,0,k=(2p-2)t-1,exact in all dimensions
551,2,2-primary image-J cyclic summand,Z/16,69,0,"k=8t-1, t odd*2^m",exact
551,3,odd-primary image J,Z/9,138,1,k=(2p-2)t-1,exact in all dimensions
551,5,odd-primary image J,Z/5,69,0,k=(2p-2)t-1,exact in all dimensions
551,7,odd-primary image J,Z/7,46,0,k=(2p-2)t-1,exact in all dimensions
551,13,odd-primary image J,Z/13,23,0,k=(2p-2)t-1,exact in all dimensions
551,47,odd-primary image J,Z/47,6,0,k=(2p-2)t-1,exact in all dimensions
551,139,odd-primary image J,Z/139,2,0,k=(2p-2)t-1,exact in all dimensions
551,277,odd-primary image J,Z/277,1,0,k=(2p-2)t-1,exact in all dimensions
552,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
553,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
554,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
555,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
555,3,odd-primary image J,Z/3,139,0,k=(2p-2)t-1,exact in all dimensions
559,2,2-primary image-J cyclic summand,Z/32,70,1,"k=8t-1, t odd*2^m",exact
559,3,odd-primary image J,Z/3,140,0,k=(2p-2)t-1,exact in all dimensions
559,5,odd-primary image J,Z/25,70,1,k=(2p-2)t-1,exact in all dimensions
559,11,odd-primary image J,Z/11,28,0,k=(2p-2)t-1,exact in all dimensions
559,29,odd-primary image J,Z/29,10,0,k=(2p-2)t-1,exact in all dimensions
559,41,odd-primary image J,Z/41,7,0,k=(2p-2)t-1,exact in all dimensions
559,71,odd-primary image J,Z/71,4,0,k=(2p-2)t-1,exact in all dimensions
559,281,odd-primary image J,Z/281,1,0,k=(2p-2)t-1,exact in all dimensions
560,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
561,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
562,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
563,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
563,3,odd-primary image J,Z/9,141,1,k=(2p-2)t-1,exact in all dimensions
563,7,odd-primary image J,Z/7,47,0,k=(2p-2)t-1,exact in all dimensions
563,283,odd-primary image J,Z/283,1,0,k=(2p-2)t-1,exact in all dimensions
567,2,2-primary image-J cyclic summand,Z/16,71,0,"k=8t-1, t odd*2^m",exact
567,3,odd-primary image J,Z/3,142,0,k=(2p-2)t-1,exact in all dimensions
567,5,odd-primary image J,Z/5,71,0,k=(2p-2)t-1,exact in all dimensions
568,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
569,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
570,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
571,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
571,3,odd-primary image J,Z/3,143,0,k=(2p-2)t-1,exact in all dimensions
571,23,odd-primary image J,Z/23,13,0,k=(2p-2)t-1,exact in all dimensions
575,2,2-primary image-J cyclic summand,Z/128,72,3,"k=8t-1, t odd*2^m",exact
575,3,odd-primary image J,Z/27,144,2,k=(2p-2)t-1,exact in all dimensions
575,5,odd-primary image J,Z/5,72,0,k=(2p-2)t-1,exact in all dimensions
575,7,odd-primary image J,Z/7,48,0,k=(2p-2)t-1,exact in all dimensions
575,13,odd-primary image J,Z/13,24,0,k=(2p-2)t-1,exact in all dimensions
575,17,odd-primary image J,Z/17,18,0,k=(2p-2)t-1,exact in all dimensions
575,19,odd-primary image J,Z/19,16,0,k=(2p-2)t-1,exact in all dimensions
575,37,odd-primary image J,Z/37,8,0,k=(2p-2)t-1,exact in all dimensions
575,73,odd-primary image J,Z/73,4,0,k=(2p-2)t-1,exact in all dimensions
575,97,odd-primary image J,Z/97,3,0,k=(2p-2)t-1,exact in all dimensions
576,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
577,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
578,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
579,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
579,3,odd-primary image J,Z/3,145,0,k=(2p-2)t-1,exact in all dimensions
579,11,odd-primary image J,Z/11,29,0,k=(2p-2)t-1,exact in all dimensions
579,59,odd-primary image J,Z/59,5,0,k=(2p-2)t-1,exact in all dimensions
583,2,2-primary image-J cyclic summand,Z/16,73,0,"k=8t-1, t odd*2^m",exact
583,3,odd-primary image J,Z/3,146,0,k=(2p-2)t-1,exact in all dimensions
583,5,odd-primary image J,Z/5,73,0,k=(2p-2)t-1,exact in all dimensions
583,293,odd-primary image J,Z/293,1,0,k=(2p-2)t-1,exact in all dimensions
584,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
585,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
586,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
587,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
587,3,odd-primary image J,Z/9,147,1,k=(2p-2)t-1,exact in all dimensions
587,7,odd-primary image J,Z/343,49,2,k=(2p-2)t-1,exact in all dimensions
587,43,odd-primary image J,Z/43,7,0,k=(2p-2)t-1,exact in all dimensions
591,2,2-primary image-J cyclic summand,Z/32,74,1,"k=8t-1, t odd*2^m",exact
591,3,odd-primary image J,Z/3,148,0,k=(2p-2)t-1,exact in all dimensions
591,5,odd-primary image J,Z/5,74,0,k=(2p-2)t-1,exact in all dimensions
591,149,odd-primary image J,Z/149,2,0,k=(2p-2)t-1,exact in all dimensions
592,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
593,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
594,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
595,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
595,3,odd-primary image J,Z/3,149,0,k=(2p-2)t-1,exact in all dimensions
599,2,2-primary image-J cyclic summand,Z/16,75,0,"k=8t-1, t odd*2^m",exact
599,3,odd-primary image J,Z/9,150,1,k=(2p-2)t-1,exact in all dimensions
599,5,odd-primary image J,Z/125,75,2,k=(2p-2)t-1,exact in all dimensions
599,7,odd-primary image J,Z/7,50,0,k=(2p-2)t-1,exact in all dimensions
599,11,odd-primary image J,Z/11,30,0,k=(2p-2)t-1,exact in all dimensions
599,13,odd-primary image J,Z/13,25,0,k=(2p-2)t-1,exact in all dimensions
599,31,odd-primary image J,Z/31,10,0,k=(2p-2)t-1,exact in all dimensions
599,61,odd-primary image J,Z/61,5,0,k=(2p-2)t-1,exact in all dimensions
599,101,odd-primary image J,Z/101,3,0,k=(2p-2)t-1,exact in all dimensions
599,151,odd-primary image J,Z/151,2,0,k=(2p-2)t-1,exact in all dimensions
600,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
601,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
602,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
603,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
603,3,odd-primary image J,Z/3,151,0,k=(2p-2)t-1,exact in all dimensions
607,2,2-primary image-J cyclic summand,Z/64,76,2,"k=8t-1, t odd*2^m",exact
607,3,odd-primary image J,Z/3,152,0,k=(2p-2)t-1,exact in all dimensions
607,5,odd-primary image J,Z/5,76,0,k=(2p-2)t-1,exact in all dimensions
607,17,odd-primary image J,Z/17,19,0,k=(2p-2)t-1,exact in all dimensions
608,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
609,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
610,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
611,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
611,3,odd-primary image J,Z/27,153,2,k=(2p-2)t-1,exact in all dimensions
611,7,odd-primary image J,Z/7,51,0,k=(2p-2)t-1,exact in all dimensions
611,19,odd-primary image J,Z/19,17,0,k=(2p-2)t-1,exact in all dimensions
611,103,odd-primary image J,Z/103,3,0,k=(2p-2)t-1,exact in all dimensions
611,307,odd-primary image J,Z/307,1,0,k=(2p-2)t-1,exact in all dimensions
615,2,2-primary image-J cyclic summand,Z/16,77,0,"k=8t-1, t odd*2^m",exact
615,3,odd-primary image J,Z/3,154,0,k=(2p-2)t-1,exact in all dimensions
615,5,odd-primary image J,Z/5,77,0,k=(2p-2)t-1,exact in all dimensions
615,23,odd-primary image J,Z/23,14,0,k=(2p-2)t-1,exact in all dimensions
615,29,odd-primary image J,Z/29,11,0,k=(2p-2)t-1,exact in all dimensions
616,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
617,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
618,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
619,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
619,3,odd-primary image J,Z/3,155,0,k=(2p-2)t-1,exact in all dimensions
619,11,odd-primary image J,Z/11,31,0,k=(2p-2)t-1,exact in all dimensions
619,311,odd-primary image J,Z/311,1,0,k=(2p-2)t-1,exact in all dimensions
623,2,2-primary image-J cyclic summand,Z/32,78,1,"k=8t-1, t odd*2^m",exact
623,3,odd-primary image J,Z/9,156,1,k=(2p-2)t-1,exact in all dimensions
623,5,odd-primary image J,Z/5,78,0,k=(2p-2)t-1,exact in all dimensions
623,7,odd-primary image J,Z/7,52,0,k=(2p-2)t-1,exact in all dimensions
623,13,odd-primary image J,Z/169,26,1,k=(2p-2)t-1,exact in all dimensions
623,53,odd-primary image J,Z/53,6,0,k=(2p-2)t-1,exact in all dimensions
623,79,odd-primary image J,Z/79,4,0,k=(2p-2)t-1,exact in all dimensions
623,157,odd-primary image J,Z/157,2,0,k=(2p-2)t-1,exact in all dimensions
623,313,odd-primary image J,Z/313,1,0,k=(2p-2)t-1,exact in all dimensions
624,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
625,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
626,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
627,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
627,3,odd-primary image J,Z/3,157,0,k=(2p-2)t-1,exact in all dimensions
631,2,2-primary image-J cyclic summand,Z/16,79,0,"k=8t-1, t odd*2^m",exact
631,3,odd-primary image J,Z/3,158,0,k=(2p-2)t-1,exact in all dimensions
631,5,odd-primary image J,Z/5,79,0,k=(2p-2)t-1,exact in all dimensions
631,317,odd-primary image J,Z/317,1,0,k=(2p-2)t-1,exact in all dimensions
632,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
633,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
634,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
635,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
635,3,odd-primary image J,Z/9,159,1,k=(2p-2)t-1,exact in all dimensions
635,7,odd-primary image J,Z/7,53,0,k=(2p-2)t-1,exact in all dimensions
635,107,odd-primary image J,Z/107,3,0,k=(2p-2)t-1,exact in all dimensions
639,2,2-primary image-J cyclic summand,Z/256,80,4,"k=8t-1, t odd*2^m",exact
639,3,odd-primary image J,Z/3,160,0,k=(2p-2)t-1,exact in all dimensions
639,5,odd-primary image J,Z/25,80,1,k=(2p-2)t-1,exact in all dimensions
639,11,odd-primary image J,Z/11,32,0,k=(2p-2)t-1,exact in all dimensions
639,17,odd-primary image J,Z/17,20,0,k=(2p-2)t-1,exact in all dimensions
639,41,odd-primary image J,Z/41,8,0,k=(2p-2)t-1,exact in all dimensions
640,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
641,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
642,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
643,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
643,3,odd-primary image J,Z/3,161,0,k=(2p-2)t-1,exact in all dimensions
643,47,odd-primary image J,Z/47,7,0,k=(2p-2)t-1,exact in all dimensions
647,2,2-primary image-J cyclic summand,Z/16,81,0,"k=8t-1, t odd*2^m",exact
647,3,odd-primary image J,Z/243,162,4,k=(2p-2)t-1,exact in all dimensions
647,5,odd-primary image J,Z/5,81,0,k=(2p-2)t-1,exact in all dimensions
647,7,odd-primary image J,Z/7,54,0,k=(2p-2)t-1,exact in all dimensions
647,13,odd-primary image J,Z/13,27,0,k=(2p-2)t-1,exact in all dimensions
647,19,odd-primary image J,Z/19,18,0,k=(2p-2)t-1,exact in all dimensions
647,37,odd-primary image J,Z/37,9,0,k=(2p-2)t-1,exact in all dimensions
647,109,odd-primary image J,Z/109,3,0,k=(2p-2)t-1,exact in all dimensions
647,163,odd-primary image J,Z/163,2,0,k=(2p-2)t-1,exact in all dimensions
648,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
649,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
650,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
651,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
651,3,odd-primary image J,Z/3,163,0,k=(2p-2)t-1,exact in all dimensions
655,2,2-primary image-J cyclic summand,Z/32,82,1,"k=8t-1, t odd*2^m",exact
655,3,odd-primary image J,Z/3,164,0,k=(2p-2)t-1,exact in all dimensions
655,5,odd-primary image J,Z/5,82,0,k=(2p-2)t-1,exact in all dimensions
655,83,odd-primary image J,Z/83,4,0,k=(2p-2)t-1,exact in all dimensions
656,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
657,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
658,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
659,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
659,3,odd-primary image J,Z/9,165,1,k=(2p-2)t-1,exact in all dimensions
659,7,odd-primary image J,Z/7,55,0,k=(2p-2)t-1,exact in all dimensions
659,11,odd-primary image J,Z/121,33,1,k=(2p-2)t-1,exact in all dimensions
659,23,odd-primary image J,Z/23,15,0,k=(2p-2)t-1,exact in all dimensions
659,31,odd-primary image J,Z/31,11,0,k=(2p-2)t-1,exact in all dimensions
659,67,odd-primary image J,Z/67,5,0,k=(2p-2)t-1,exact in all dimensions
659,331,odd-primary image J,Z/331,1,0,k=(2p-2)t-1,exact in all dimensions
663,2,2-primary image-J cyclic summand,Z/16,83,0,"k=8t-1, t odd*2^m",exact
663,3,odd-primary image J,Z/3,166,0,k=(2p-2)t-1,exact in all dimensions
663,5,odd-primary image J,Z/5,83,0,k=(2p-2)t-1,exact in all dimensions
663,167,odd-primary image J,Z/167,2,0,k=(2p-2)t-1,exact in all dimensions
664,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
665,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
666,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
667,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
667,3,odd-primary image J,Z/3,167,0,k=(2p-2)t-1,exact in all dimensions
671,2,2-primary image-J cyclic summand,Z/64,84,2,"k=8t-1, t odd*2^m",exact
671,3,odd-primary image J,Z/9,168,1,k=(2p-2)t-1,exact in all dimensions
671,5,odd-primary image J,Z/5,84,0,k=(2p-2)t-1,exact in all dimensions
671,7,odd-primary image J,Z/49,56,1,k=(2p-2)t-1,exact in all dimensions
671,13,odd-primary image J,Z/13,28,0,k=(2p-2)t-1,exact in all dimensions
671,17,odd-primary image J,Z/17,21,0,k=(2p-2)t-1,exact in all dimensions
671,29,odd-primary image J,Z/29,12,0,k=(2p-2)t-1,exact in all dimensions
671,43,odd-primary image J,Z/43,8,0,k=(2p-2)t-1,exact in all dimensions
671,113,odd-primary image J,Z/113,3,0,k=(2p-2)t-1,exact in all dimensions
671,337,odd-primary image J,Z/337,1,0,k=(2p-2)t-1,exact in all dimensions
672,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
673,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
674,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
